Empcode,Name,Department,DOJ,P,WO,H,L,Ab,DP,OT1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
EMP004,Arun Verma,LINE 10,14-May-21,14,6,3,2,4,0,1,P,WO,H,WO,WO,Ab,P,Ab,P,P,WO,P,P,H,P,P,H,WO,P,P,P,OT1,P,Ab,WO,Ab,P,L,P,L,
EMP004,Arun Verma,LINE 10,14-May-21,12,7,2,3,2,4,1,H,WO,P,P,DP,P,DP,Ab,WO,H,OT1,DP,L,P,L,WO,P,P,P,WO,WO,P,WO,L,DP,P,P,P,Ab,WO,P
EMP004,Arun Verma,LINE 10,14-May-21,17,5,2,1,3,3,0,Ab,P,P,L,Ab,WO,P,P,P,DP,P,P,WO,P,Ab,P,P,WO,H,WO,DP,P,H,P,P,P,WO,P,P,DP,P
EMP004,Arun Verma,LINE 10,14-May-21,18,6,0,2,2,1,1,P,P,WO,DP,Ab,P,WO,P,OT1,WO,P,P,P,P,Ab,P,WO,WO,P,P,P,L,P,WO,P,P,P,L,P,P,
EMP004,Arun Verma,LINE 10,14-May-21,18,6,2,2,3,0,0,WO,Ab,P,P,Ab,P,Ab,WO,P,P,P,P,WO,P,WO,P,L,P,P,P,P,WO,H,P,H,P,L,P,WO,P,P
EMP004,Arun Verma,LINE 10,14-May-21,19,5,0,1,2,2,1,DP,P,L,Ab,WO,P,P,DP,P,P,P,WO,WO,P,Ab,P,P,P,WO,P,P,P,P,P,OT1,WO,P,P,P,P,
EMP004,Arun Verma,LINE 10,14-May-21,16,7,3,2,3,0,0,H,Ab,WO,WO,L,H,P,P,P,WO,P,P,P,P,P,WO,WO,P,P,Ab,P,Ab,P,WO,P,H,L,P,P,P,WO
EMP005,Rahul Kumar,LINE 2,23-Mar-20,14,7,1,4,3,1,1,WO,P,P,P,WO,L,Ab,WO,H,DP,P,P,P,P,WO,WO,P,P,Ab,P,L,WO,P,L,Ab,OT1,L,P,WO,P,P
EMP005,Rahul Kumar,LINE 2,23-Mar-20,17,4,3,2,2,0,0,Ab,L,P,P,WO,H,P,P,P,Ab,P,WO,P,P,P,P,H,P,WO,P,P,P,H,L,P,WO,P,P,,,
EMP005,Rahul Kumar,LINE 2,23-Mar-20,21,8,1,1,0,0,0,P,P,WO,P,WO,WO,P,P,P,L,P,WO,P,P,WO,P,WO,P,WO,P,P,P,P,P,P,WO,P,P,P,H,P
EMP005,Rahul Kumar,LINE 2,23-Mar-20,14,5,2,2,7,0,0,P,WO,H,P,Ab,L,P,Ab,WO,P,P,Ab,Ab,P,P,WO,H,P,P,P,P,L,WO,P,Ab,Ab,P,Ab,P,WO,
EMP005,Rahul Kumar,LINE 2,23-Mar-20,18,5,1,6,1,0,0,P,P,P,P,P,P,WO,P,P,P,P,Ab,P,WO,H,L,L,P,P,P,WO,P,L,WO,P,L,P,WO,L,L,P
EMP005,Rahul Kumar,LINE 2,23-Mar-20,19,4,0,1,6,0,0,Ab,P,P,WO,P,Ab,P,P,P,P,WO,P,P,P,P,P,P,WO,P,Ab,P,Ab,Ab,P,WO,P,P,P,L,Ab,
EMP005,Rahul Kumar,LINE 2,23-Mar-20,21,6,1,2,1,0,0,P,WO,L,WO,P,P,P,P,WO,P,Ab,P,H,P,P,WO,P,P,P,P,P,P,WO,P,P,P,P,L,P,WO,P
EMP005,Rahul Kumar,LINE 2,23-Mar-20,13,9,2,3,2,2,0,P,WO,P,H,WO,WO,Ab,Ab,P,P,P,P,WO,DP,WO,P,P,DP,P,WO,P,L,L,WO,L,H,WO,WO,P,P,P
EMP005,Rahul Kumar,LINE 2,23-Mar-20,17,4,0,4,4,1,0,P,P,WO,P,P,DP,P,P,P,WO,P,Ab,P,L,Ab,Ab,WO,P,P,L,P,P,P,WO,Ab,L,L,P,P,P,
EMP005,Rahul Kumar,LINE 2,23-Mar-20,16,6,1,3,2,2,1,WO,WO,P,P,P,H,P,WO,P,P,L,P,Ab,P,WO,DP,OT1,P,P,P,P,WO,DP,L,L,P,P,P,WO,Ab,P
EMP005,Rahul Kumar,LINE 2,23-Mar-20,17,4,0,2,4,2,1,P,Ab,Ab,P,WO,L,P,Ab,P,P,DP,WO,P,P,P,P,P,P,WO,P,OT1,P,P,DP,Ab,WO,P,L,P,P,
EMP005,Rahul Kumar,LINE 2,23-Mar-20,19,6,2,2,2,0,0,L,WO,WO,P,H,P,P,P,P,WO,Ab,P,H,P,P,P,WO,P,P,P,L,P,P,WO,Ab,P,P,P,P,P,WO
EMP006,Manoj Kumar,LINE 9,12-Feb-20,18,6,2,2,0,0,3,WO,P,P,P,P,WO,P,WO,OT1,P,P,P,OT1,P,WO,P,P,P,OT1,P,P,WO,L,P,H,P,L,H,WO,P,P
EMP006,Manoj Kumar,LINE 9,12-Feb-20,15,5,0,6,0,1,1,P,L,P,L,WO,P,WO,P,L,P,L,WO,P,P,P,P,P,DP,WO,P,OT1,P,P,L,P,WO,P,L,,,
EMP006,Manoj Kumar,LINE 9,12-Feb-20,16,6,2,2,4,0,1,Ab,P,P,P,WO,Ab,H,Ab,P,OT1,P,WO,P,Ab,P,L,H,P,WO,P,L,P,P,P,WO,WO,P,P,P,WO,P
EMP006,Manoj Kumar,LINE 9,12-Feb-20,14,7,0,3,1,3,2,P,WO,Ab,P,OT1,P,OT1,DP,WO,P,P,P,L,WO,DP,WO,P,P,L,P,P,L,WO,P,P,P,P,WO,DP,WO,
EMP006,Manoj Kumar,LINE 9,12-Feb-20,19,5,1,1,4,0,1,P,L,P,P,P,P,WO,P,P,H,P,P,P,WO,P,P,P,OT1,P,Ab,WO,P,P,Ab,P,Ab,P,WO,P,WO,Ab
EMP006,Manoj Kumar,LINE 9,12-Feb-20,17,4,2,3,3,0,1,P,P,P,WO,P,Ab,Ab,H,Ab,P,WO,L,P,P,P,P,L,WO,P,P,P,L,P,P,WO,P,P,OT1,H,P,
EMP006,Manoj Kumar,LINE 9,12-Feb-20,14,6,1,3,4,2,1,L,WO,L,P,OT1,P,P,WO,WO,P,Ab,L,P,P,DP,WO,P,Ab,P,P,P,P,WO,P,H,P,DP,Ab,Ab,WO,P
EMP006,Manoj Kumar,LINE 9,12-Feb-20,19,6,1,2,1,2,0,P,P,P,P,P,WO,P,P,DP,P,WO,H,WO,P,Ab,P,L,P,P,WO,P,P,WO,L,P,P,WO,P,P,P,DP
EMP006,Manoj Kumar,LINE 9,12-Feb-20,20,5,2,1,1,0,1,P,L,WO,WO,P,P,P,P,P,WO,P,P,P,H,H,Ab,WO,OT1,P,P,P,P,P,WO,P,P,P,P,P,P,
EMP006,Manoj Kumar,LINE 9,12-Feb-20,18,6,0,1,4,2,0,WO,P,Ab,P,P,P,P,WO,L,P,P,P,P,P,WO,DP,P,DP,P,P,P,WO,P,Ab,WO,P,P,Ab,WO,P,Ab
EMP006,Manoj Kumar,LINE 9,12-Feb-20,17,5,1,4,0,1,2,H,L,P,P,WO,P,P,P,P,P,L,WO,P,OT1,WO,P,OT1,P,WO,L,P,DP,L,P,P,WO,P,P,P,P,
EMP006,Manoj Kumar,LINE 9,12-Feb-20,15,7,3,3,0,1,2,P,P,WO,P,P,P,P,P,OT1,WO,H,P,P,L,P,H,WO,P,L,P,WO,OT1,P,WO,L,H,WO,P,P,DP,WO
EMP007,Arun Mishra,LINE 4,08-Jul-21,15,7,2,3,3,1,0,WO,L,L,P,H,P,P,WO,P,P,Ab,P,WO,P,WO,DP,P,P,P,P,WO,WO,P,L,Ab,Ab,H,P,WO,P,P
EMP007,Arun Mishra,LINE 4,08-Jul-21,17,6,2,1,1,0,1,P,WO,P,P,WO,P,Ab,P,P,L,H,WO,P,WO,P,P,P,P,WO,P,OT1,P,P,P,H,WO,P,P,,,
EMP007,Arun Mishra,LINE 4,08-Jul-21,16,7,1,3,0,3,1,DP,L,P,P,WO,WO,P,OT1,L,DP,L,WO,P,P,H,P,P,P,WO,P,P,P,DP,WO,P,WO,P,P,P,WO,P
EMP007,Arun Mishra,LINE 4,08-Jul-21,15,5,2,1,4,3,0,P,WO,P,P,H,P,L,P,WO,P,Ab,P,DP,Ab,P,WO,P,DP,P,P,Ab,P,WO,P,P,H,DP,Ab,P,WO,
EMP007,Arun Mishra,LINE 4,08-Jul-21,16,4,0,0,5,3,3,Ab,P,Ab,OT1,P,P,WO,DP,DP,Ab,Ab,P,P,WO,P,OT1,P,OT1,P,P,WO,DP,Ab,P,P,P,P,WO,P,P,P
EMP007,Arun Mishra,LINE 4,08-Jul-21,14,7,2,4,2,1,0,H,L,P,WO,L,P,Ab,Ab,L,P,WO,P,WO,P,P,P,P,WO,P,P,L,DP,P,H,WO,P,WO,WO,P,P,
EMP007,Arun Mishra,LINE 4,08-Jul-21,19,6,2,1,3,0,0,P,WO,P,P,Ab,H,P,P,WO,Ab,P,P,P,P,P,WO,H,P,P,P,P,P,WO,WO,P,P,L,Ab,P,WO,P
EMP007,Arun Mishra,LINE 4,08-Jul-21,21,4,3,3,0,0,0,H,P,P,P,P,WO,P,P,P,P,P,P,WO,P,P,P,P,L,P,WO,P,P,P,P,L,H,WO,P,L,H,P
EMP007,Arun Mishra,LINE 4,08-Jul-21,14,7,0,2,2,2,3,P,P,WO,P,OT1,DP,P,DP,P,WO,P,L,L,OT1,P,P,WO,OT1,P,Ab,Ab,P,WO,WO,WO,P,WO,P,P,P,
EMP007,Arun Mishra,LINE 4,08-Jul-21,17,6,3,3,1,1,0,WO,P,H,P,P,P,P,WO,WO,P,P,L,P,P,WO,P,DP,H,P,L,P,WO,L,Ab,P,P,P,P,WO,P,H
EMP007,Arun Mishra,LINE 4,08-Jul-21,17,6,2,1,3,1,0,P,H,P,P,WO,P,Ab,P,P,P,L,WO,H,P,P,WO,P,P,WO,P,WO,P,P,P,DP,WO,Ab,Ab,P,P,
EMP007,Arun Mishra,LINE 4,08-Jul-21,14,6,1,3,4,2,1,P,OT1,WO,DP,WO,L,P,P,P,WO,P,L,P,Ab,P,H,WO,L,Ab,P,DP,P,P,WO,P,P,P,Ab,Ab,P,WO
EMP008,Vanitha Mehta,LINE 1,23-Nov-19,14,6,2,2,3,3,1,WO,H,P,P,WO,P,Ab,WO,P,L,H,P,P,Ab,WO,P,DP,P,DP,DP,P,WO,OT1,P,P,P,P,Ab,WO,P,L
EMP008,Vanitha Mehta,LINE 1,23-Nov-19,19,4,0,0,3,1,1,P,P,P,P,WO,P,P,P,OT1,P,Ab,WO,Ab,P,P,P,P,P,WO,P,DP,P,P,P,P,WO,P,Ab,,,
EMP008,Vanitha Mehta,LINE 1,23-Nov-19,14,7,2,3,3,2,0,P,WO,WO,P,WO,L,DP,P,P,P,L,WO,P,H,P,Ab,P,P,WO,P,P,Ab,DP,WO,L,WO,P,Ab,P,H,P
EMP008,Vanitha Mehta,LINE 1,23-Nov-19,18,7,0,3,1,0,1,P,WO,P,P,WO,P,P,P,WO,P,P,P,P,P,OT1,WO,P,L,WO,L,Ab,P,WO,P,P,P,P,L,P,WO,
EMP008,Vanitha Mehta,LINE 1,23-Nov-19,18,6,0,2,4,0,1,P,P,P,P,OT1,P,WO,WO,Ab,WO,Ab,L,P,WO,P,P,P,P,P,P,WO,P,L,P,Ab,P,P,WO,P,P,Ab
EMP008,Vanitha Mehta,LINE 1,23-Nov-19,14,4,2,2,6,1,1,Ab,P,P,WO,P,Ab,Ab,P,P,Ab,WO,P,DP,P,L,H,P,WO,P,P,P,Ab,P,Ab,WO,P,L,P,OT1,H,
EMP008,Vanitha Mehta,LINE 1,23-Nov-19,14,7,2,3,1,2,2,P,WO,OT1,P,P,Ab,P,L,WO,DP,P,L,P,P,OT1,WO,P,P,DP,P,WO,WO,WO,P,P,L,H,P,P,WO,H
EMP008,Vanitha Mehta,LINE 1,23-Nov-19,23,4,1,0,2,0,1,P,H,P,P,P,WO,P,P,P,P,P,P,WO,P,P,P,P,P,P,WO,P,P,P,P,P,Ab,WO,Ab,OT1,P,P
EMP008,Vanitha Mehta,LINE 1,23-Nov-19,21,4,0,2,1,1,1,P,P,WO,P,P,P,P,P,P,WO,P,P,P,P,P,P,WO,P,P,DP,P,P,L,WO,P,P,L,Ab,OT1,P,
EMP008,Vanitha Mehta,LINE 1,23-Nov-19,17,8,1,1,0,4,0,WO,P,DP,P,P,DP,DP,WO,P,WO,P,P,P,P,WO,L,P,P,P,P,P,WO,WO,P,DP,P,H,P,WO,P,WO
EMP008,Vanitha Mehta,LINE 1,23-Nov-19,14,7,1,5,2,0,1,L,L,P,P,WO,P,P,WO,H,L,P,WO,OT1,P,P,P,Ab,WO,WO,P,L,P,Ab,P,P,WO,P,L,WO,P,
EMP008,Vanitha Mehta,LINE 1,23-Nov-19,19,6,0,2,0,3,1,P,P,WO,OT1,WO,P,L,DP,P,WO,P,P,P,P,P,P,WO,P,P,L,P,P,P,WO,P,P,P,DP,P,DP,WO
EMP009,Geetha Shah,LINE 5,15-Nov-19,20,7,0,1,1,1,1,WO,P,P,P,P,P,P,WO,P,WO,P,P,L,P,WO,Ab,P,WO,P,OT1,P,WO,P,P,P,DP,P,P,WO,P,P
EMP009,Geetha Shah,LINE 5,15-Nov-19,19,4,1,2,2,0,0,P,P,P,P,WO,P,P,H,P,L,L,WO,P,P,Ab,P,P,P,WO,P,Ab,P,P,P,P,WO,P,P,,,
EMP009,Geetha Shah,LINE 5,15-Nov-19,21,6,1,1,1,0,1,Ab,P,L,H,WO,P,P,P,P,P,P,WO,P,WO,P,P,P,P,WO,P,P,WO,P,OT1,P,WO,P,P,P,P,P
EMP009,Geetha Shah,LINE 5,15-Nov-19,17,6,1,4,1,1,0,P,WO,P,P,L,DP,P,P,WO,WO,P,Ab,P,P,P,WO,L,P,P,P,P,P,WO,H,L,P,P,P,L,WO,
EMP009,Geetha Shah,LINE 5,15-Nov-19,15,4,2,6,1,0,3,L,P,L,P,H,P,WO,OT1,P,Ab,L,P,OT1,WO,P,P,L,P,OT1,L,WO,P,L,P,P,H,P,WO,P,P,P
EMP009,Geetha Shah,LINE 5,15-Nov-19,12,6,2,3,4,1,2,P,P,P,WO,P,P,P,H,P,P,WO,Ab,OT1,WO,P,DP,L,WO,Ab,OT1,Ab,P,Ab,P,WO,H,L,L,WO,P,
EMP009,Geetha Shah,LINE 5,15-Nov-19,19,6,2,1,1,2,0,P,WO,P,P,P,P,Ab,P,WO,P,P,DP,P,DP,P,WO,P,L,H,H,P,WO,WO,P,P,P,P,P,P,WO,P
EMP009,Geetha Shah,LINE 5,15-Nov-19,18,7,0,2,2,2,0,L,P,P,P,P,WO,P,WO,P,P,L,P,WO,P,Ab,P,P,DP,P,WO,WO,P,P,P,DP,P,WO,WO,P,P,Ab
EMP009,Geetha Shah,LINE 5,15-Nov-19,16,8,2,2,1,0,1,P,P,WO,P,WO,P,WO,H,P,WO,P,P,P,WO,P,WO,WO,L,OT1,P,P,P,P,WO,H,P,P,Ab,P,L,
EMP009,Geetha Shah,LINE 5,15-Nov-19,18,7,1,2,1,1,1,WO,L,P,OT1,P,P,P,WO,WO,P,H,P,P,P,WO,WO,Ab,P,P,L,P,WO,P,DP,P,P,P,P,WO,P,P
EMP009,Geetha Shah,LINE 5,15-Nov-19,14,7,1,1,3,2,2,P,L,WO,Ab,WO,WO,P,P,P,H,P,WO,P,Ab,DP,P,P,P,WO,P,P,OT1,OT1,DP,P,WO,Ab,P,P,WO,
EMP009,Geetha Shah,LINE 5,15-Nov-19,19,5,1,4,1,1,0,L,DP,WO,L,P,P,P,P,P,WO,L,P,P,P,P,H,WO,P,P,P,P,P,P,WO,P,L,P,P,P,Ab,WO
EMP010,Pooja Shah,LINE 2,09-Jul-19,13,7,6,2,2,1,0,WO,WO,P,WO,H,Ab,P,WO,P,P,P,P,P,H,WO,H,P,H,H,P,DP,WO,P,L,H,P,P,L,WO,P,Ab
EMP010,Pooja Shah,LINE 2,09-Jul-19,19,4,2,2,1,0,0,L,P,L,P,WO,P,H,P,P,P,P,WO,P,P,P,P,P,P,WO,H,P,P,P,Ab,P,WO,P,P,,,
EMP010,Pooja Shah,LINE 2,09-Jul-19,17,4,2,1,4,2,1,P,DP,Ab,P,WO,Ab,H,P,P,P,H,WO,P,P,P,P,Ab,P,WO,L,OT1,DP,P,P,P,WO,Ab,P,P,P,P
EMP010,Pooja Shah,LINE 2,09-Jul-19,16,6,1,2,4,1,0,P,WO,P,P,P,P,P,L,WO,P,Ab,L,P,P,P,WO,P,P,Ab,Ab,DP,P,WO,WO,Ab,H,P,P,P,WO,
EMP010,Pooja Shah,LINE 2,09-Jul-19,16,4,4,2,2,1,2,P,P,OT1,H,P,Ab,WO,Ab,P,H,P,OT1,P,WO,P,P,L,P,P,P,WO,DP,P,P,P,L,H,WO,H,P,P
EMP010,Pooja Shah,LINE 2,09-Jul-19,19,7,0,2,1,1,0,P,P,L,WO,P,P,P,P,P,P,WO,DP,P,P,P,P,P,WO,WO,L,WO,P,Ab,P,WO,P,P,P,P,WO,
EMP010,Pooja Shah,LINE 2,09-Jul-19,18,5,1,3,2,0,2,P,WO,OT1,P,P,P,H,P,WO,P,L,P,P,Ab,OT1,WO,P,L,P,P,P,P,WO,P,L,P,P,Ab,P,WO,P
EMP010,Pooja Shah,LINE 2,09-Jul-19,21,5,0,2,3,0,0,Ab,L,P,P,P,WO,P,P,L,P,P,WO,WO,P,P,P,P,Ab,P,WO,P,P,P,P,P,P,WO,P,P,P,Ab
EMP010,Pooja Shah,LINE 2,09-Jul-19,14,5,0,5,2,0,4,P,P,WO,L,L,OT1,L,P,P,WO,P,Ab,P,P,P,P,WO,P,Ab,L,P,OT1,P,WO,L,OT1,OT1,P,WO,P,
EMP010,Pooja Shah,LINE 2,09-Jul-19,12,6,1,3,6,1,2,WO,L,Ab,P,OT1,P,Ab,WO,L,P,Ab,Ab,P,P,WO,L,WO,Ab,P,H,DP,WO,P,P,P,OT1,Ab,P,WO,P,P
EMP010,Pooja Shah,LINE 2,09-Jul-19,16,4,1,1,6,2,0,P,P,P,P,WO,P,Ab,P,P,H,Ab,WO,Ab,P,P,P,Ab,L,WO,Ab,Ab,DP,P,DP,P,WO,P,P,P,P,
EMP010,Pooja Shah,LINE 2,09-Jul-19,11,7,1,2,2,7,1,DP,L,WO,DP,P,P,DP,WO,Ab,WO,L,P,P,P,P,WO,WO,P,H,DP,DP,P,OT1,WO,DP,P,P,Ab,DP,P,WO
EMP011,Harish Singh,LINE 6,05-Dec-20,17,5,3,0,3,2,1,WO,P,DP,P,H,P,OT1,WO,P,Ab,P,H,P,Ab,WO,P,P,P,P,P,P,WO,P,P,H,DP,Ab,P,WO,P,P
EMP011,Harish Singh,LINE 6,05-Dec-20,16,6,1,0,3,2,0,P,P,Ab,WO,WO,WO,P,P,Ab,P,P,WO,DP,P,P,P,H,P,WO,Ab,P,P,P,P,P,WO,DP,P,,,
EMP011,Harish Singh,LINE 6,05-Dec-20,20,6,2,0,3,0,0,Ab,P,P,P,WO,P,WO,H,H,P,P,WO,P,P,P,Ab,P,P,WO,P,P,WO,P,P,P,WO,P,P,P,Ab,P
EMP011,Harish Singh,LINE 6,05-Dec-20,18,7,0,2,2,0,1,P,WO,P,WO,P,P,P,Ab,WO,P,P,P,P,P,P,WO,P,L,WO,P,P,P,WO,OT1,P,P,Ab,L,P,WO,
EMP011,Harish Singh,LINE 6,05-Dec-20,13,5,1,3,5,0,4,P,Ab,P,Ab,P,P,WO,Ab,H,P,Ab,L,WO,WO,P,P,L,P,OT1,OT1,WO,L,P,P,OT1,P,OT1,WO,P,Ab,P
EMP011,Harish Singh,LINE 6,05-Dec-20,19,4,0,2,4,1,0,Ab,Ab,P,WO,P,P,P,P,P,Ab,WO,L,P,P,P,P,P,WO,P,L,DP,Ab,P,P,WO,P,P,P,P,P,
EMP011,Harish Singh,LINE 6,05-Dec-20,16,7,1,2,4,0,1,P,WO,P,P,P,P,P,WO,WO,P,Ab,P,P,H,Ab,WO,Ab,P,L,P,P,P,WO,WO,P,Ab,P,OT1,P,WO,L
EMP011,Harish Singh,LINE 6,05-Dec-20,15,4,2,4,6,0,0,P,P,P,P,P,WO,L,H,L,Ab,L,P,WO,P,P,P,P,Ab,Ab,WO,P,P,Ab,Ab,P,P,WO,Ab,H,P,L
EMP011,Harish Singh,LINE 6,05-Dec-20,18,6,1,1,3,1,0,P,P,WO,P,P,P,P,P,Ab,WO,P,P,P,Ab,H,WO,WO,P,P,P,P,DP,Ab,WO,P,WO,P,P,P,L,
EMP011,Harish Singh,LINE 6,05-Dec-20,18,7,0,3,2,1,0,WO,L,P,Ab,P,P,P,WO,P,L,P,DP,P,P,WO,P,P,P,P,WO,L,WO,P,P,P,WO,Ab,P,WO,P,P
